,Unnamed: 0,Unnamed: 0.1,_merge,anios_de_experiencia,cambio_de_residencia,cantidad_de_vacantes,date,departamento,descripcion,disponibilidad_viajes,edad,educacion_minima,empresa,fecha_online,idiomas,jornada,licencia_conducir,localidad,puesto,rama_de_actividad,salario,sexo,tamanio_empresa,tipo_de_contrato,url_oferta
147,147,147.0,,1.0, No,,2/17/2020,,"Empresa Importante de Integracion Tecnologica Te Invita a Formar Parte de su Equipo Como:AUXILIAR DE ALMACEN para su centro de operaciones en SilaoEdad: 25 anos en adelanteGenero: IndistintoEscolaridad: Preparatoria terminadaExperiencia y Conocimientos:	Experiencia en almacen	Atencion a proveedores	Acomodo de mercancia	Inventarios	Manejo de PC	Manejo de ExcelOfrecemos:*Sueldo base bruto 8,000*Prestaciones de ley*Oportunidad de Desarrollo y CrecimientoLugar de trabajo: Blvd. Aeropuerto frente a MasecaHorario: 8:30 a 18:30 de Lunes a SabadoInteresados postularse por este medio o enviar CV Actualizado al correo de la postulacion", No, entre 25 y 40 anos, Educacion media superior -Bachillerato General,,13 febrero,,Contrato por tiempo indeterminado,,Guanajuato,Promotor/a asesor de venta - hasta 8000 semanales,,"$ 8.000,00 (Mensual)",,,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-almacen-disponibilidad-de-horario-en-silao-de-la-victoria-F7E77BB381A8B28161373E686DCF3405
148,148,148.0,,1.0, No,,2/17/2020,,"SUBGERENTE DE TIENDA CD. JUDICIALHORARIO: Lunes a Sabado 9:30 a 20:30 hrs Domingo 9:30 a 19:00 hrs1.5 dias de descanso entre semanaRequisitos:Lic. Administracion (deseable)Edad 25-36 anosExperiencia en ventas, manejo de personal y servicio a clientesManejo de KPIsManejo de friedmanGusto por el deporteOfrecemos:Sueldo base $6,890.00 + comisiones individuales + comisiones sobre el total de tienda, no topadasPrestaciones de LeyContratacion InmediataUniformesDescuentos en productoInteresados: Postularse por este medio enviando CV para entrevista1 VACANTE *NO TEMPORAL*TRABAJO DE PLANTATipo de puesto: Tiempo completo, Comision, IndefinidoSalario: $6,890.00 /mes + comisiones", No, entre 25 y 36 anos, Educacion superior - Licenciatura,Typhoon Sports Coalition,"Ayer, 04:00 a. m.",,Contrato por tiempo indeterminado,,Puebla,Asesor comercial - hasta 5000 semanal,Publicidad / RRPP,"$ 6.890,00 (Mensual)",,"Más de 1,000 trabajadores",Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-subgerente-de-tienda-cd-judicial-tiempo-completo-en-puebla-9EA91773597E584961373E686DCF3405
149,149,149.0,,1.0, No,,2/17/2020,,"SUBGERENTE DE TIENDA CD. JUDICIALHORARIO: Lunes a Sabado 9:30 a 20:30 hrs Domingo 9:30 a 19:00 hrs1.5 dias de descanso entre semanaRequisitos:Lic. Administracion (deseable)Edad 25-36 anosExperiencia en ventas, manejo de personal y servicio a clientesManejo de KPIsManejo de friedmanGusto por el deporteOfrecemos:Sueldo base $6,890.00 + comisiones individuales + comisiones sobre el total de tienda, no topadasPrestaciones de LeyContratacion InmediataUniformesDescuentos en productoInteresados: Postularse por este medio enviando CV para entrevista1 VACANTE *NO TEMPORAL*TRABAJO DE PLANTATipo de puesto: Tiempo completo, Comision, IndefinidoSalario: $6,890.00 /mes + comisiones", No, entre 25 y 36 anos, Educacion superior - Licenciatura,Typhoon Sports Coalition,"Ayer, 04:00 a. m.",,Contrato por tiempo indeterminado,,Puebla,Asesor comercial - hasta 5000 semanal,Publicidad / RRPP,"$ 6.890,00 (Mensual)",,"Más de 1,000 trabajadores",Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-subgerente-de-tienda-cd-judicial-tiempo-completo-en-puebla-9EA91773597E584961373E686DCF3405
150,150,150.0,,5.0, No,,2/17/2020,,"IMPORTANTE COMPANIA MULTINACIONALSolicita: DevOps - Cloud REQUISITOSIngles experto / BILINGUEExperiencia en puestos afines al menos 5 anos (UNIX/LINUX sysadmin / Cloud Computing Engineer / Dev/Ops / Server operations / Administrador de Servidores Cloud /afin)Disponibilidad de horario para asistir contingencias relacionadas con los servidores a nivel internacionalPerfil tecnico:- Manejo de plataformas Cloud: Azure, AWS, Google Cloud o uno de los otros proveedores importantes de IaaS- Contenedores / containers: Dockers / Kubernates- Administracion de sistemas (Linux y Windows)- Experiencia con Linux y Windows Server 2012+,Linux operating systems, Cent OS / Redhat, ubuntuFUNCIONESInstalar y configurar servidores en cloudTroubleshoting con clientes internos y externosSoluciones de Infraestructure as a ServiceComunicacion y trabajo con equipo internacionalImplementacion de procesos y mejorasOFRECEMOSSueldo base de $60,000 a $65,000 pesos brutos, abierto a negociarPrestaciones superiores a las de ley (30 dias de aguinaldo, 10 dias de vacaciones, PTU, 70% prima vacacional)Beneficios economicos adicionales (Vales de Despensa, Fondo de Ahorro, Seguro de Gastos Medicos Mayores, Seguro de Vida, Vales de restaurante, entre otros...)Bono anual por desempeno de hasta 30 dias de sueldoAmbiente multicultural y relaciones internacionalesLugar de trabajo: Miguel Hidalgo, Lomas de ChapultepecPOSTULATE O COMPARTE CV EN INGLES POR CORREO ELECTRONICO", No,, Educacion superior - Licenciatura,GET ONE JOB,"Hoy, 12:02 p. m.", Ingles ,Contrato por tiempo indeterminado,,Ciudad de México DF,Vendedor/a - Hasta 14mil mensual/capacitación pagada,11-50 trabajadores,"$ 65.000,00 (Mensual)",,,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-devops-en-miguel-hidalgo-B962520D34E8D65F61373E686DCF3405
151,151,151.0,,2.0, No,,2/17/2020,,"Outsourcing requiere In plant de Recursos HumanosPerfilEscolaridad: LicenciaturaSexo: IndistintoEdad: IndistintoActividadesAdministracion de contratos, leyes y reglamentos.Diseno y seguimiento a planes de clima laboral.Incidencias, pre nomina, altas y bajas.HorarioLunes a viernes de 8am a 6pmZona laboral Cerca del metro etiopiaOfrecemosSueldo de 8mil a 10milPrestaciones de ley", No, entre 27 y 40 anos, Educacion superior - Licenciatura,Humania,"Hoy, 09:35 a. m.",,Contrato por tiempo indeterminado,,Ciudad de México DF,Gerente de Operaciones,RRHH / Personal,,,11-50 trabajadores,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-in-plant-recursos-humanos-colegio-en-benito-juarez-F6E7F9629B5C98B161373E686DCF3405
152,152,152.0,,5.0, No,,2/17/2020,,"Descripcion del empleoCassaplan, es una empresa que cumple con sus metas y objetivos, tiene un personal altamente calificado y capacitado para cumplir las expectativas de sus clientes. Debido al gran compromiso de nuestros colaboradores, tenemos un ambiente multidisciplinar muy agradable; por lo que, buscamos a personas comprometidas con ganas de aprender y crecer.Actividades generales:1.Visitar las obras asignadas las veces necesarias para cumplir los avances marcados en el cronograma.2. Revisar con los maestros de obra los avances y la correcta implementacion del proyecto de obra.3. Atender a los clientes en obra y coordinarse con la arquitecta proyectista en la correcta ejecucion de detalles.4. Reportar los avances marcados al coordinador de obra y organizarse para conocer a detalle el proyecto.5.Llevar destajos de contratistas y dirigir el control de sus avances, reportando semanalmente.", No, entre 30 y 55 anos, Educacion superior - Licenciatura,CASSAPLAN,"Hoy, 09:31 a. m.", Espanol ,Contrato por tiempo indeterminado," D ,C ,B ,A ",Jalisco,Ayudante de almacen para Santa Fe - Experiencia mínima de 6 meses,Construcción / obras,"$ 15.000,00 (Mensual)",,11-50 trabajadores,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-residente-de-obra-experiencia-en-supervision-de-casas-residenciales--en-guadalajara-2AF285E269C3199161373E686DCF3405
153,153,153.0,,1.0, No,,2/17/2020,,"GRUPO GAYOSSO BUSCA TU TALENTO Te gustan las ventas?Esta es la oportunidad que esperabas....POSTULATE:  ASESOR DE VENTAS / EJECUTIVO DE VENTASREQUISITOS:Escolaridad: Bachillerato o licenciatura (terminada / trunca o equivalente)Gusto por las ventas Trabajo por objetivosEXPERIENCIA EN ALGUNA DE ESTAS AREAS:Atencion al cliente, Productos Financieros, Ventas de seguros, afores, autos, Editorial, Telemarketing, Ventas de tarjetas de credito, Modulos, Promotor, Ventas de libros.OFRECEMOS:1)	PAGOS SEMANALES Y PUNTUALES DE CADA UNA DE TUS VENTAS2)	Ganancias semanales, SIN TOPE DE VENTAS3)	Comisiones SEMANALES ADICIONAL, SIN TOPE4)	Bonos por cada venta realizada.5)	Bono mensual por monto de venta6)	Rifas y PREMIOS por montos de ventas7)	Convenciones Viajes Nacionales e Internacionales.8)	CAPACITACION constante y PAGADA9)	Estabilidad y Crecimiento laboral10)	Certificacion ante la Secretaria de Trabajo11)	INCENTIVOS adicionales en EFECTIVO12)	Excelente ambiente laboralCubres con el perfil postulate por este medio", No, entre 30 y 65 anos, Educacion media superior -Bachillerato General,,"Ayer, 01:01 p. m.",,Contrato por tiempo indeterminado,,Estado de México,cajero de farmacia  sobre mexiquense en coacalco y tultitlan - descanso en domingo,,,,,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-ventas-pagos-semanales-cdmx-contratacion-inmediata-en-nezahualcoyotl-94DABB2937EBB9EC61373E686DCF3405
154,154,154.0,,, No,,2/17/2020,,PROWORK tiene un lugar para ti! Empresa del giro restaurantero de alimentos y bebidas se encuentra en busca de tu talento como:                                                           ------AUXILIAR DE COCINA-------Requisitos         Escolaridad: Bachillerato tecnico en alimentos/Gastronomia/ Estudios en cocina         Edad: Indistinta         Sexo: Indistinto         Experiencia: minimo de 3 a 6 meses         Disponibilidad: rolar 2 turnos******* Funciones- Apoyo general en el area cocina Conocimientos requeridos-Experiencia en parrilla-Experiencia en cocina general-Conocimiento de recetas/procesos de alimentos Competencias- Trabajo en equipo- Sentido de urgencia Ofrecemos  Sueldo base de pago quincenal  Prestaciones de ley  Comida en turno de apertura/cierre  Propinas en pago semanal   Apoyo de traslado en dias de cierre  Uniforme de la marcaHorario: Lunes a domingo  1 dia de descanso entre semana (rolado)INTERESADOS POSTULARSE EN ESTE MEDIO O MANDAR SU CV LA CORREO SENALADO, No, A partir de 18 anos, Educacion media superior - Bachillerato Tecnologico,Prowork,12 febrero,,Contrato por tiempo indeterminado,,Querétaro,Reclutador/a,RRHH / Personal,,,51-200 trabajadores,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-cocina-giro-restaurantero-en-queretaro-837726D8154943F761373E686DCF3405
155,155,155.0,,1.0, No,,2/17/2020,,"TE GUSTARIA FORMAR PARTE DE LA FAMILIA BENDITA PALETA!!TE ESTAMOS BUSCANDO!!Actitud super positiva, muy persuasiv@ que no acepte un NO por respuesta!!!Requisitos:Bachillerato concluido.EXCELENTE PRESENTACION.8 meses con experiencia en ventas en tu ultimo trabajo del 2019.NO ESTUDIANTES.Horario:De lunes a domingo con un dia de descanso (entre semana).10:00 a 17:30, 12:00 a 19:30 y 14 a 21:30 (SON ROLADOS).IMPORTANTE:vivir maximo a una hora de los puntos expuestos.Habilidades:Responsable.Dinamico.Sin pena.Pasion por las ventas.Gusto por abordar al cliente.Gusto por las metas.Manejo de objeciones.Trabajo en equipo.Actividades:Labor de venta.Cobro en caja.Atencion y servicio al cliente.Pedidos Delivery (uber eats).Dar muestras a todas las personas que pasen al rededor de la isla.Ofrecemos:Excelente clima laboral.Capacitacion pagada.Uniforme sin costo.Sueldo 5040 mensuales fijos + 960 en vales de despensa.Comision por venta.Dia de cumpleanos libre.8 dias de vacaciones el primer ano.20 dias de aguinaldo.30%de prima vacacional.Prestaciones de ley+ superiores+ infonavit.Oportunidad de crecimiento a corto plazo.Importante mandar CV con foto.", No, entre 20 y 31 anos, Educacion media superior -Bachillerato General,BENDITA PALETA,13 febrero,,Contrato para obra o tiempo determinado,,Ciudad de México DF,"Estilistas y Manicuristas - En Plaza Coyoacan,Universidad, Pebellon del Valle",Venta al consumidor,"$ 6.000,00 (Mensual)",,51-200 trabajadores,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-vendedora-antara-fashion-hall-en-miguel-hidalgo-C4DF79081809761D61373E686DCF3405
156,156,156.0,,1.0, No,,2/17/2020,,"FUNCIONES	Inspeccion fisica mecanica tractores-remolques.	Reparaciones menores de equipos.	Crear y dar seguimiento a calendario de mantenimientos preventivos para cada tipo de unidad.	Entregar reportes quincenales de los mantenimientos realizados a las unidades	Archivar adecuadamente prueba de todo mantenimiento preventivo y correctivo para consulta posterior.	Determinar viabilidad de las unidades para viajar	Control y seguimiento a ordenes de taller.	Control de gastos de mantenimiento por unidad.	Dar seguimiento a infracciones/correcciones solicitadas por el DOT dentro del tiempo reglamentario.	Solicitar oportunamente al departamento de compras a traves de requisicion por escrito de las refacciones y herramientas que necesite para efectuar las ordenes de servicio.	Controlar el desecho de liquidos y partes, en el lugar asignado para tal actividad, asegurandose que se realice la disposicion final.	Las inherentes al puesto, enunciativas mas no limitativasOFRECEMOSPago semanal, Todas las prestaciones de Ley, Vales de despensa, Premios de puntualidad y asistencia, Herramientas de trabajo, Estabilidad Laboral.", No, entre 25 y 40 anos, Educacion media superior -Bachillerato General,Proyección Logistica Agencia Aduanal S.A. DE C.V.,14 febrero,,Contrato por tiempo indeterminado,,Tamaulipas,Ayudante de carga y descarga - Prestaciones Superiores,Servicios Profesionales,,,51-200 trabajadores,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-mantenimiento-mecanico-en-nuevo-laredo-A17668DC6244FFD761373E686DCF3405
